N,p_hor,p_ver,a,b,S
1000,0.2,0.0,21.5,16.0,0.9253194365807869
1000,0.2,0.2333333333333333,17.5,19.0,0.9573229659662877
1000,0.2,0.4666666666666666,16.5,22.0,0.8768867387983214
1000,0.2,0.7,15.0,33.0,0.643050275118769
1000,0.3,0.0,21.0,15.5,0.9779105566322295
1000,0.3,0.20000000000000004,19.5,18.0,0.9068657726033923
1000,0.3,0.4000000000000001,16.5,20.5,0.9410491831006378
1000,0.3,0.6000000000000001,14.0,34.0,0.6687182482852746
1000,0.4,0.0,23.0,15.0,0.9226373512573642
1000,0.4,0.16666666666666666,21.0,17.0,0.8916243310470328
1000,0.4,0.3333333333333333,19.0,20.0,0.8376575952205018
1000,0.4,0.5,21.5,25.5,0.5805925876585329
1000,0.5,0.0,25.5,13.5,0.924647454419145
1000,0.5,0.13333333333333333,26.0,14.0,0.8744777092961282
1000,0.5,0.26666666666666666,25.5,17.5,0.7132994648376262
1000,0.5,0.4,25.5,17.0,0.7342788608622622
1000,0.6,0.0,26.0,12.5,0.9794150344116637
1000,0.6,0.10000000000000002,28.5,13.0,0.8591359950979505
1000,0.6,0.20000000000000004,26.0,15.0,0.816179195343053
1000,0.6,0.30000000000000004,25.0,22.5,0.5658842421045167
2000,0.2,0.0,28.0,22.5,1.010507575186637
2000,0.2,0.2333333333333333,25.5,27.5,0.9078356825206152
2000,0.2,0.4666666666666666,23.5,31.0,0.8738775186926305
2000,0.2,0.7,18.5,46.0,0.7480843388573224
2000,0.3,0.0,29.5,22.0,0.9809241484862579
2000,0.3,0.20000000000000004,27.5,24.5,0.9448902001745179
2000,0.3,0.4000000000000001,26.0,28.5,0.8591359950979505
2000,0.3,0.6000000000000001,24.5,40.0,0.649612012619981
2000,0.4,0.0,33.0,21.0,0.9186432501696702
2000,0.4,0.16666666666666666,31.5,22.5,0.8982289557214552
2000,0.4,0.3333333333333333,30.0,27.0,0.7859503362562733
2000,0.4,0.5,24.0,42.0,0.6315672344916482
2000,0.5,0.0,35.0,19.0,0.9573229659662877
2000,0.5,0.13333333333333333,33.5,22.0,0.8637988770252121
2000,0.5,0.26666666666666666,38.0,21.5,0.7792163676469784
2000,0.5,0.4,33.0,30.5,0.6325084673299367
2000,0.6,0.0,40.0,16.5,0.9645754126781537
2000,0.6,0.10000000000000002,36.0,18.5,0.9558855440954676
2000,0.6,0.20000000000000004,37.5,21.0,0.8084060601493096
2000,0.6,0.30000000000000004,39.5,30.5,0.5284247954908332
3000,0.2,0.0,35.0,28.5,0.9573229659662879
3000,0.2,0.2333333333333333,32.0,32.5,0.9182015947609347
3000,0.2,0.4666666666666666,26.5,40.5,0.8897550976486113
3000,0.2,0.7,23.0,62.5,0.6642988929053023
3000,0.3,0.0,36.5,26.5,0.987262505610103
3000,0.3,0.20000000000000004,35.5,30.0,0.8966475667149033
3000,0.3,0.4000000000000001,30.0,34.5,0.9226373512573643
3000,0.3,0.6000000000000001,28.0,52.5,0.649612012619981
3000,0.4,0.0,38.5,25.5,0.9726810884149447
3000,0.4,0.16666666666666666,37.0,29.0,0.8899624031233664
3000,0.4,0.3333333333333333,36.0,30.5,0.8696991425786631
3000,0.4,0.5,38.0,41.0,0.6129201916247574
3000,0.5,0.0,43.0,24.5,0.906435366446485
3000,0.5,0.13333333333333333,39.5,26.0,0.9298243997579085
3000,0.5,0.26666666666666666,41.5,29.5,0.7800119734950965
3000,0.5,0.4,43.0,35.0,0.6345047565125396
3000,0.6,0.0,47.5,21.0,0.9573229659662879
3000,0.6,0.10000000000000002,46.5,23.0,0.8928748560555139
3000,0.6,0.20000000000000004,45.0,24.5,0.8661493501599746
3000,0.6,0.30000000000000004,52.5,25.5,0.7132994648376262
4000,0.2,0.0,40.0,32.5,0.9794150344116637
4000,0.2,0.2333333333333333,36.5,37.5,0.9302206719526304
4000,0.2,0.4666666666666666,32.0,45.0,0.8841941282883075
4000,0.2,0.7,27.5,67.0,0.6910391016201697
4000,0.3,0.0,44.5,31.0,0.922971761315812
4000,0.3,0.20000000000000004,39.5,35.5,0.9079975359138261
4000,0.3,0.4000000000000001,35.0,39.5,0.9209689292840236
4000,0.3,0.6000000000000001,38.0,59.5,0.5631311564507575
4000,0.4,0.0,46.5,28.0,0.9779105566322295
4000,0.4,0.16666666666666666,43.5,31.5,0.9292023679877122
4000,0.4,0.3333333333333333,41.5,35.5,0.8642386185203889
4000,0.4,0.5,40.5,46.5,0.6760863107580846
4000,0.5,0.0,49.5,26.5,0.9706419247075759
4000,0.5,0.13333333333333333,48.0,27.5,0.9645754126781537
4000,0.5,0.26666666666666666,45.0,33.5,0.844603346424652
4000,0.5,0.4,42.5,44.5,0.6732264611950629
4000,0.6,0.0,54.0,25.0,0.9431404035075278
4000,0.6,0.10000000000000002,52.5,27.0,0.8982289557214552
4000,0.6,0.20000000000000004,54.5,30.5,0.7659735567665289
4000,0.6,0.30000000000000004,59.0,31.0,0.6961397182805701
